,ChEMBL_ID,REFERENCE,PUBMED_ID
197,CHEMBL402108,"Bioorg. Med. Chem. Lett., 18, p. 324 (2008)",17981461
198,CHEMBL1909374,"J. Med. Chem., 50, p. 4453 (2007)",17676829
199,CHEMBL208437,"J. Med. Chem., 49, p. 2210 (2006)",16570917
200,CHEMBL257113,"Bioorg. Med. Chem. Lett., 18, p. 324 (2008)",17981461
201,CHEMBL477583,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
202,CHEMBL1909382,"Bioorg. Med. Chem. Lett., 17, p. 4363 (2007)",17600705
203,CHEMBL1909396,"Bioorg. Med. Chem. Lett., 17, p. 1773 (2007)",17276055
204,CHEMBL477182,"Bioorg. Med. Chem. Lett., 18, p. 4433 (2008)",18602262
205,CHEMBL1794073,"J. Med. Chem., 51, p. 4632 (2008)",18620382
206,CHEMBL588025,"Bioorg. Med. Chem. Lett., 17, p. 1773 (2007)",17276055
207,CHEMBL1909359,"J. Med. Chem., 51, p. 4632 (2008)",18620382
208,CHEMBL207410,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
209,CHEMBL476351,"Bioorg. Med. Chem. Lett., 18, p. 4433 (2008)",18602262
210,CHEMBL495696,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
211,CHEMBL468963,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
212,CHEMBL1882194,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
213,CHEMBL365663,"J. Med. Chem., 47, p. 4494 (2004)",15317461
214,CHEMBL513330,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
215,CHEMBL251549,"Bioorg. Med. Chem. Lett., 17, p. 4363 (2007)",17600705
216,CHEMBL477978,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
217,CHEMBL517507,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
218,CHEMBL1909383,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
219,CHEMBL475761,"Bioorg. Med. Chem. Lett., 19, p. 817 (2009)",19111461
220,CHEMBL306865,"Bioorg. Med. Chem. Lett., 16, p. 2091 (2006)",16460937
221,CHEMBL426800,"Bioorg. Med. Chem. Lett., 15, p. 3402 (2005)",15950465
222,CHEMBL361237,"J. Med. Chem., 47, p. 4494 (2004)",15317461
223,CHEMBL477979,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
224,CHEMBL185238,"J. Med. Chem., 47, p. 4494 (2004)",15317461
225,CHEMBL67241,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
226,CHEMBL205765,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
227,CHEMBL396107,"Bioorg. Med. Chem. Lett., 17, p. 1773 (2007)",17276055
228,CHEMBL273564,"Bioorg. Med. Chem. Lett., 17, p. 1773 (2007)",17276055
229,CHEMBL516908,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
230,CHEMBL517666,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
231,CHEMBL381604,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
232,CHEMBL359999,"J. Med. Chem., 47, p. 4716 (2004)",15341487
233,CHEMBL516248,"Bioorg. Med. Chem. Lett., 19, p. 1018 (2009)",19097784
234,CHEMBL359963,"Bioorg. Med. Chem. Lett., 18, p. 5758 (2008)",18835709
235,CHEMBL361894,"J. Med. Chem., 47, p. 4716 (2004)",15341487
236,CHEMBL188381,"Bioorg. Med. Chem. Lett., 15, p. 3519 (2005)",15990302
237,CHEMBL479038,"Bioorg. Med. Chem. Lett., 18, p. 4428 (2008)",18614366
238,CHEMBL207247,"Bioorg. Med. Chem. Lett., 16, p. 2419 (2006)",16483772
239,CHEMBL188426,"J. Med. Chem., 47, p. 4716 (2004)",15341487
240,CHEMBL442363,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
241,CHEMBL189353,"Bioorg. Med. Chem. Lett., 15, p. 3519 (2005)",15990302
242,CHEMBL365248,"J. Med. Chem., 47, p. 4716 (2004)",15341487
243,CHEMBL187081,"J. Med. Chem., 47, p. 4716 (2004)",15341487
244,CHEMBL66292,"Bioorg. Med. Chem. Lett., 14, p. 2121 (2004)",15080992
245,CHEMBL183993,"J. Med. Chem., 47, p. 4716 (2004)",15341487
